,text
36,skillsonline advertisingentrepreneurshipanalyticsmanish ceo techment technologygreater raipur areaexperiencetechment technologyceoseptember present partner entrepreneur building enterprise level product remarkable mobile wecreate smart software team expert help organization adoptlatest technology trend stay ahead understand importance launching rightproduct right time relentlessly work towards meeting core team decade experience executing managing people love technology strong belief solving reallife problem using specialtiesrapid prototyping functional enterprise enterprise grade androidtheagrihubadvisor products june june year indialeading product development technology initiative building first dedicated one stop discovery platform forconventional platform connect farmer withlatest technology trend latest product supplier like u page hirenodesfounding memberaugust may building platform ease process searching job byusing social connection job using hirenodes find better job better fit increase chance getting interview call shorten searching processpilania industriesdirector operationsmay november year industries manufacturer tmt wire may year online photography portal targeted atindians living overseas intends ultimate stop anyand photography related need photomanagement photo genomicsmodule leaderfebruary november predictive modeling technology predicting pharmacokinetic andtoxic property drug universitygraduate research assistantaugust december year chrysler germanysummer internmay july concept innovative technology wasteminimization enhancing capability laminated object page rapid prototyping performing experiment helisys experiment done using variety manufacturingcomponents used internally daimler project resulted anaverage reduction building time project also resulted initiation talk collaboration available integrated module package mechanical engineering institute mechanical engineering page
37,skillspython web services python interact theoperating systempython programmingspecializationpython data structurespython classes inheritanceintroduction git student partners automation professionalcertificate badgeharsh kumar khatrigoogle dsc lead microsoft students learn ambassador event ambassador incubateind fellow coding ninja campusexpert team lead voc musk said notgive unless forced give software developer convert code software andapplications provide experience live currently cse undergraduate career point keep exploring learning new thing level myskills contribute back community way mygoto programming language python also make content related thing learn problem thati face help others face similar focused helping people community andbeyond work together make excellent communication also great team playerand like engage logical thinking approachto coding find chilling friend orscrolling student clubs page google dsc leadaugust present always enjoyed learning gdes leads hoping create impact student technology introducingthem community early updating complete journey dsc monthsmicrosoft student learn ambassadorsaugust present students partnerapril august student partner one community helped megrow individual personal well professional got learn somuch people around also organized multiple tech event speaker suchevents enhanced presenting student partner rebranded microsoft student present awesome opportunity provided hakincodes teamthrough would able mentor guide people differenttechnology background part opensource community alarger along best chance showcase skill welland influence young mind part indfellowjuly present program offered incubate ind personal andprofessional ambassadorjune present page appointed event ambassador june responsibility event ambassador organize conductevents related artificial intelligence machine learning every conducted prior appointed around theme introductionto ml find map codemanagement team leadmay present code blogging community started microsoft student partnercommunity member educate people around globe good contentrelated technical ninjas indiacampus ambassadorfebruary present ambassadorfebruary present welfare councilcampus ambassadorjanuary present peoplehackathon mentoraugust august people intercollegiate hackathon designed engagestudents tackling largest issue theeconomy trying channel inner got chance mentor guide participant end upmaking good thing overall learning league hacking page july part brand new summer hackathon league serieswhich organized major league hacking hackathon isconducted every got chance mentor hell got conversation peoplefrom various different subcontinent solve doubt made melearn research new mlh team also great thereto help mentor change well havealways participant hackathon prior amentor got know thing going hood dtucampus ambassadorfebruary may good opportunity work learn new institute information allahabadcampus ambassadorfebruary may type internship got topromote technical fest take place iiit may homethis great learning opportunity provided internshala withthe help initiative able host session make people awareabout technology trendseducationcareer point university kotabachelor technology computer science kota science page rankcomputer programming page
38,skillscreative aimachine learning apisaws fundamental course theaws machine learning introduction ethics law dataand winner sih sharmacomputer science engineering sophomore nit raipurgreater priyanshi sophomore student pursuing myundergraduate degree computer science engineering atnational institute looked worked around immense variety oftechnologies using django rest using machine chatbots using aiml anddialogflow et cetera alongside pretty active participating inevents encourage always willing participate insomething help learn primarily use practicing data structures algorithms andpython backend effort aid problem solving question difficult also strongfoundations data algorithm coding fundamentalswhich help understand alleviate blessed live world technology aid effortand give wider consistently pursuing developedadaptability takemy time truly understand bring best anything setmy eye also knack writing english actuallymakes explanation understandable journey full looking forward learnand page opengenus foundationsoftware internapril present foundation enriching resource read myauthor also created chatbot nit year monthstech managerapril present currently working guiding willing people work backend volunteer management also help promote open source nitrr also responsible backend development task asdeveloping backend website android marketing executiveapril april year worked overall successful conduction interacted dean director order share ourvision extend mentorship setting entrepreneurship cell attheir respective worked directly ignition competition coordinating betweenvarious party involved participant worked innovation manthan helped coordinate participant facilitatejudgement round innovative project worked formed question business quiz alsohelped smooth conduction onsite prepared hosted media relations nit year present continue work english editor operation page also guide new member work part editorial teamof newsletter nit raipurcoordinatorjanuary august year content editor newsletter nit worked english editor operation student branch nit raipurdocumentation executivemarch june year responsible writing content came alongside release caption also party successful conduction aptrivia olympiadfor student across first ieee internationalconference nit raipurexecutivejanuary january year party conducting several also made several quiz question regular club dps greater noidapresidentmay march responsible smooth conduction related event including cyber fest institute technology raipurbachelors computer science public greater noidasenior secondary education page
39,skillsinformation securitypenetration testingethical hackinglanguageshindienglishcertificationscertificate continuing educationcompletiontraining internship certificate onethical hackingstartup india learning programweb app security fundamentalskamal alpyus technologiesbengalurusummarytechnology business always driving factor mypersonal intellectual computer sciencebackground keenly interested led toa special bond brain make link every technicalopportunity business worked software engineer intern intel high endtechnologies genius mind towards new innovative tech challenges something make go every day used filled challenge tomeet industry standard always keep learning newthings updated entrepreneur since used sell inksin school small penny school allowed touse ink pen ball also school day havebeen involved lending bicycle fellow student bicycle small activitieshow started interest speaking previous class founded follerypvt company dealing fine extent going well faced problemsin scaling successful failure experience wherei learned two thing importance market understanding andimportance strong also worked two morebusiness one healthcare sector another digital magazinebut ended good learning experience sanitation latest majordomains interest work always inthese capability grasp thing fast work tillperfection make capable taking kind work andexcelling always kind collaboration andprojects mentioned page experiencealpyus present indiaintel corporationsoftware engineer internjuly june indiajapan third partyhumanoid developer internmarch april directordecember september year india council robotics automationinternship traineemay june cyber security penetration testingeducationvellore institute technologymaster technology softwareengineering schoolsecondary high school francis ranchihigh school page
40,skillsteam managementmicrosoft exceltechnical recruitingbalasubramanyam savarapusenior analyst amazon development centre limitedandhra pradeshsummarysenior year strong experience issuing exit leave background joining knowledge inpeoplesoft mis data mis development centre private limitedsenior analystjanuary present telanganabusiness employee transport limitedassociate operationsnovember august year indialearnsocialmis associatejuly february year indiamis reportingtech mahindraassistant officeraugust december year high school page english language page
41,skillsmanagementcommunicationretail coin award nairanalyst adpandhra pradeshsummaryi honoured part wells fargo india solutionsand given opportunity learn different skillsthroughout journey ranging precise quality benefitsadministration insurance presentation skill content present year hro insurance benefits deal providing variety healthinsurance opted accurate data isreconciled along vendor provided information sent clients whoopt insurance based based provided informationtimely payment change made coverage plan aredone year monthsfinancial analystapril july year indiafinancial analystapril june year india review document core ranging liabilities tax returns calculatingincome pay stubs yearly help estimate state sideprocessor decide approval collecting customer informationfrom processor order file tax returns getting explanation large deposittransactions made bank following page throughout application procedure property validations along titlepolicy hazard insurance biotechnology page
42,skillsproduct managementmanagementstrategyambareesh pepperfrymumbaisummaryover year general management experience service internet career cadbury sales followedby stint prudential icici amc icici vpmarketing customer personal career adventure wheni ran financial training business consulting firm ebay december ebay till june entrepreneur indian online hold delhi college engineering mbafrom indian institute general sales strategyexperiencepepperfryfounderjuly present year indiaebay philippines year monthscountry managermarch june year manager mar june last ebay seen rapid growth enhancedmarket leadership across driven strong productand process localization great team page active industry also served vice chairman theinternet mobile association india marketplace development user experiencedecember february year feb responsibility also took leadership theuser experience accountable user retentionand dec dec function ebay india managed selleracquisition marketplace category insight theglobal trade industriesmarketing manager mass marketsjune december segment strategy communication retail strategy resourcesfounderdecember may year business fulfilled need formal traning content development anddelivery emerging indian asset management resources helped train financial advisor channel help set advisor network providing turnkey advisor empanelment solution indian mutual strauss india leader december included product development marketing retailstrategies prudential amc ltdvp marketing customer serviceoctober august year product customer service strategy page cadbury indiabrand managerjune october year flagship dairy milk five launched cadbury one mostsuccessful product launch course cadbury also managed new productdevelopment gifting started cadbury career sale asm institute management college civil engineering page
43,skillsentrepreneurshipgraphic designvasvishal gondalfounder ceo goqiimumbaisummaryphilosophy think leading motivating team produce extra everyone give key success tohave give incfounder ceofebruary present year parkmake permanent shift healthier lifestylewith combination advanced wearable leading headquartered california office mumbai dedicated enabling permanent shift healthier lifestyle thecombination advanced wearable leading goqii focus sustained engagement goalreinforcement offer complete ecosystem single integrated powerful combination technology human goqiiis collaboration leading expert amazingmanagement team driven passion healthy sustainable believe u contain boundless goal toenable million people across world helping themunleash untapped blood venture grouppartnerjanuary present year page walt disney companymanaging digitalseptember june heading gaming digital operation disney india soldindiagames since moved working yearsceojanuary june year finishing vishal started atthe age employee award game develops game console andonline gaming platform working top game hollywood studio mobile operator across anavid vishal played volleyball state national rank holder national computer problem solving contest head mumbai chapter international gamedevelopers part nokia advisory council gamesand advice nokia gaming indiagames partnered withactivision marvel develop distribute game based december business today featured vishal among top vishal frequent speaker gaming wirelesstechnology podartybcom fail page
44,skillsreal estate developmentstrategy developmentmarketing salon chain year salon four year rowfrom shenaiceo lakme levermumbaisummaryexperienced ceo brand business builder atrack record agile learning leading across real estate healthcare across family owned mnc start pushkarajis passionate design building executing strategic plan building ecosystem toenhance customer enterprise architect sirjj college architecture pgp iim investor specific focus consumer lever executive officer wholetime directoroctober present year team driving growth lakme lever professional hindustan unilever admired fmcg lever fully owned subsidiary hul independent boardand leadership operate three brand lakme salon outletand team tigi professional dermalogica skin member unilever beauty personal care leadership achievementsbuilding purposeful customer centric team developed beautify future vision one lakme value haveshaped organisation conceptualized built lakme academy powered aptech strategicalliance leading vocational training organisation create academy page driven innovations deliver revenue runway secretsportfolio show stopping collections lakme fashion implemented digital transformation agenda technology data drivenways working supported integrated turned around business delivered strong cagr profit customer service metric promoter score best national salon chain award indian salon wellnesscongress year row realtychief operating officer piramal realty president groupcorporate brand piramal groupaugust october year role leads team responsible business development landacquisition construction project land transaction revenue potential rs project team concept schematic development stagesfor rs mn piramal aranya luxury residential project insouth developed executed unique founder customer programme toreposition project increased revenue potential rs designing executing piramal group corporate brand strategy acrossbusiness employee engagement csr initiative onpublic corporate communication rs cr piramal groupteam delivered medium value grouppresident group corporate brand strategic marketingfebruary september year role designing executing piramal group corporate brand strategy acrossbusiness employee engagement csr initiative onpublic corporate communication rs cr piramal executed helpyourbody social initiative preventchronic metabolic disease doctor patient support atelevised reality show page developed executed campaign reach medical professionalswhich launched piramal healthcare brand improved salience rank rank office strategy management rs cr formulations business strategy formulation centralmarketing sale force business divested abbott record valuation branding marketingmarch february building distinctive brand position bringing alive atevery strategy execution across touch buying monitoring pr corp images best fashion brand award plc hindustan lever year monthsglobal regional brand managerfebruary march year brand brand innovation brand equity project team brandcommunicationarea sales customer development managermay january year annual revenue rs managed grew networkof channel role focused sale channel designand execution sale micro marketing initiative built team consistently featured top panthaky associated pvt ltddesign architectnovember june year design execution sft premium commercial retail institutional p k das consultants month page educationindian institute management business management jj college architectureb urban project management page
45,skillsbusiness academy certification commercialization andintellectual women science andmedicine award americanassociation advancement ofscience programfor excellence science texas medical center davis licensingacademy scholarship univ texas southwestern medicalcenter associationtravel award confer changesin susceptibility heart hemodynamic stressdisrupts normal circadian rhythm signalling andprotein phosphorylation heartreactive oxygen speciesregulate alkaloid metabolism inundifferentiated tabacum cellscongenital heart mutation display functionaldeficits managingbreakthrough innovations phdhead strategy medical technology cyienthyderabadsummarynita year experience working interface ofbusiness innovation expertise theareas medical biotech nita lead strategy solutions medicaland healthcare business help drive strategy thebusiness unit new product innovation developmentthrough internal new business accelerator alsodrives corporate venture keyaccount planning also work extensively external ecosystemfor enabling strategic partnership government industry association deep believer holistic solution strong focus onbusiness model innovation increased technology lie strategy business development new product solutions development key account channels go market design thinking user experience solution corporate venture technology business model due diligence intellectual property mentoring early stage certified licensing professional technology contracts term sheetsexperiencecyienthead strategy medical technology page september present business developmentdecember december year indiamapmygenome wellness dnavice president strategy business school yearsassociate director business strategy development incubation innovation technology california davisvisiting californiauniversity texas southwestern medical center dallaspostdoctoral cardiology internal august kentuckyresearch kentucky areaeducationindian institute roorkeebiotechnology page indian school businessmaster business administration strategy leadershipuniversity daviscertified licensing licensing intellectual propertyuniversity page
46,skillsrequirements analysismicrosoft sql serveroraclelanguagesenglishpunjabiharbindar singh gillsenior consultant capgeminihyderabadexperiencecapgeminisenior consultantjune present year indiaman diesel turboteam coordinatormarch present year indiaapollo health engineerseptember present management problem managementeducationkakatiya public schoolclass x page
47,skillsglobal deliverysoftware project managementsdlclanguagesenglish manager mfgadm unit award deliveryexcellenceprima award technologyexcellenceprima award ensuringeffective customer excellenceprima award knowledgemanagement initiativessidhartha sinhavice president jp morgan chase program management leader year ofexperience track record successfully managing high performing teamsstrong experience product technical project portfolio sales builtand managed large team delivery spanning multiple time contributor account business plans involved various strategic multimillion deal organizational areas expertise business partnermanagement p operations due diligence transition management program team building leadership experiencejp morgan chase vice president july present year year monthsdelivery manageroctober july indiamanaged global team resource across various portfolio includingsales partner relationship enterprise page managing diverse portfolio isv sector portfolio sizeis usd group project managermarch september year program delivery management multiple program forum leading hi tech client including program solution deployment support pune senior project managerjanuary march year indialed multiple programs partner ales sustenance transitioned partner platformfrom incumbent led prioritization process across several engineering excellence initiative across ledthe team delivering multiple successful release across apps partner pdd cvp starting led feature development work partner successfullyimplemented distributed infy award knowledge managementinitiative led programs foundation services led delivery sxp experience platform enablessocial medium capability across led effort revamping msvideo platform managed presales large hitech clients worked multiple largeconsolidation deal cfe several large proposalsacross multiple senior project manager bi december year usamanaged infosys relation microsoft bi coe onsite coordinator forinfosys program corporate planning analysis rhythm ofbusiness scorecarding rev bwb worked asanalyst senior program manager rob scorecarding leadingcoordination work multiple group microsoft page project managerjanuary june year delivery several bi program like rhythm targets responsible gathering analysing creating functional specification high level design acquiring involved scope time management ensuringtimely project deliveryrapidigm ltdproject managerjune december indiaproject manager req track interacted multiple office ofrapidigm inc requirement scope resource allocation team requests forproposals ltd netacross leadmay april delivered several project multiple client including outlook india private microsoft coleman company private project lead responsible code requirement led several project onshorefor led program sun netpilgrim birlasoftsenior software engineerjuly may year software part internet team educational institutebachelor electrical engineering college agra page isc energy central schoolaisse page
48,skillsbusiness developmentproduct marketingvendor managementnikhil aroramanaging director vice operations business scale emerging corporate mergers market entry strategic innovation business developmentexperiencegodaddymanaging director vice godaddyjune present year institute art designadvisor board memberaugust present year indian institute art design collaboration london offer education interior architecture communication design nurturecreative talent entrepreneurssuper seven cricket federation indiaadvisor board memberjune present year promote develop game cricket men woman grassroutes level sport cricket time reinvents latestbeing super seven cricket federation india weworkhead asia australia india country headapril july year new york city hong kong indiawework american company provides shared service startup founded headquartered new york create world people work make page wework transforms building collaborative share get inspiration wework membersand community team virtually see ourmembers full idea help business president managing directorseptember september year indiaresponsible charting strategy india become operatingsystem behind small business launched flagship businessand financial management software today intuit quickbooks leading cloud implementing business partnership capitalising mobile globalmarket laureate international universitiesvice president country august network online university country offer undergraduate graduate degree program onemillion student laureate largest global network higher education student part community span asia themiddle institutions offer doctoral degreeprograms field business medical information communication hospitality strategy business product comprehensive global provider human capitalmanagement solution unite tax andbenefits leader business outsourcing compliance adp dealer service provides integrated technology solution toover recreational vehicle heavyequipment dealer throughout page delphi corporationcorporate mergers automotive company integrates greenerand connected solution automotive sectorosc world bankconsultant education automotive sector russia business development russian central regionalfinancial consultingcbs television televisoion westinghouse broadcasting alsoknown group broadcasting division westinghouse owned several radio television station across unitedstates distributed television show syndicationmiramax filmsmarketing analystjanuary january year new yorkeducationthunderbird school global managementmba marketing state university moscow auto russian page
49,skillspartnershipsmanagemententerprise softwarelanguagesenglishhindivandana bfounder managing director infinitum network solutionshyderabadsummaryvandana serial started entrepreneurialjourney ceo software digitalsolutions company went onto establish online mediafirm called together among largest contentpartners youtube southeast asia brand spread overvarious vertical like car also form diverse linguistic kid learningnetwork spread across world billion view million subscriber stand testimony quality contentthat completely developed network channelsabove million subscriber channel morethan subscriber making one awarded network latest venture infinitum social medium marketingand digital advertising catering biggestproduction house talent tollywood apart big masters business administration specialization infinance prestigious ohio university extensive workexperience servicing large fortune earlierstint wealth manager foremost financial currently serving various capacity managingdirector chairman board company responsiblefor managing profitability known digital native year speciality includesocial medium digital creatives content celebrity influencer process stronghold accounting finance addition managing corporatealliances partnership page experienceinfinitum network solutionsfounder managing directorapril present year executive officerjanuary present year indiaportalapps media solutionsmanaging directoraugust present year indiaindigarage automotivemanaging directorjune present year publisherschief publisher managing directormarch present year present universitymaster business administration finance page
